242.7	-52.5	4.9	47.52323	80.74942
229.6	-57.2	5.8	47.52372	80.74865
241.9	-53.5	4.6	47.52352	80.74768
237.3	-53	6.3	47.52307	80.74713
240.1	-45.4	7.6	47.5227	80.74615
240.4	-56.8	5.6	47.52318	80.74468
242.6	-46.6	12.1	47.52412	80.74353
237.1	-55.3	5.4	47.52413	80.74307
233.2	-52.4	8.1	47.52398	80.74173
240.8	-54.4	6.1	47.5162	80.74023
245.3	-44.6	6.3	47.5164	80.73942
244.6	-41.9	7.5	47.51628	80.73897
244	-50.8	4.7	47.51605	80.73838
241.5	-51.8	8.4	47.51632	80.73798
250.2	-51.3	5.7	47.5168	80.73785
243.1	-51.7	4.3	47.51687	80.73767
245.4	-41.2	11.6	47.51693	80.73743
234	-47.6	12	47.5235	80.73613
256.9	-40.1	4.1	47.51713	80.73668
235.6	-51.3	11.9	47.51867	80.73332
240	-40.9	12.8	47.52467	80.72812
226.1	-57.9	6.9	47.52413	80.72558
257.8	-50.4	9.2	47.52393	80.72527
222.3	-60	6.1	47.52288	80.72465
235.6	-48.5	7.6	47.5227	80.72447
234.2	-55.9	7.6	47.51928	80.72382
240.4	-55	6.2	47.5194	80.72405
235.6	-54.2	5.7	47.52018	80.72392
222.5	-60.6	9.9	47.52227	80.72382
229.2	-54.8	6	47.51915	80.72353
244.9	-44.8	12.7	47.52217	80.7186
227.7	-57.5	12.8	47.52167	80.71815
263.1	-50.5	12.9	47.521	80.71807
233.3	-52.7	7.1	47.51933	80.71688
268.5	-46.1	9.6	47.51983	80.71673
251.1	-62.7	3.2	47.51767	80.71558
245.2	-57.2	4.7	47.51883	80.71123
257	-60.9	6.4	47.51685	80.71117
259	-57.2	8.4	47.51747	80.71112
269.8	-53.4	10.5	47.52242	80.70633
244.6	-54.8	4.9	47.52232	80.70523
253.7	-61	5.5	47.52173	80.70505
248.7	-60.7	6.1	47.52168	80.70445
239.3	-58.1	5.4	47.52133	80.70265
240.5	-61.6	3.9	47.5265	80.70258
229.2	-53.2	6.4	47.5245	80.70245
223.5	-43	12.9	47.52267	80.7023
220.3	-56.9	13.2	47.52117	80.70233
236.3	-58.2	6.2	47.52117	80.70107
220.8	-55.5	13.3	47.52213	80.69947
230.3	-57.3	12.1	47.52088	80.69817
228.6	-58.9	4.5	47.51983	80.69817
256.8	-57.2	9.1	47.5195	80.69785
229.3	-60.4	6.6	47.51917	80.69795
232.7	-52.3	6.6	47.519	80.6971
231.1	-64.2	10.4	47.51933	80.6969
245.4	-60	6.3	47.51933	80.69635
242.1	-59.1	8.3	47.51917	80.69582
256.9	-53.4	7.6	47.51912	80.69488
234.9	-56	7.3	47.51922	80.69395
245.9	-67.3	8.6	47.51908	80.69153
245.6	-54.5	6	47.51905	80.6911
232.6	-52.4	5.3	47.51817	80.69038
248.5	-52.3	3	47.5181	80.69035
238.6	-36.2	8.2	47.51767	80.69003
240.7	-57.9	10.4	47.5175	80.68963
249	-58.4	5.4	47.5169	80.68867
245.2	-54.1	6.9	47.51567	80.68833
248.6	-52.6	4.6	47.51522	80.68815
233.2	-61.2	13.3	47.50788	80.6877
240.4	-58	6.1	47.51112	80.68668
252.9	-62.8	6.4	47.51067	80.68645
247.8	-65.1	9.5	47.5131	80.68588
253.7	-57	10.4	47.51167	80.68473
244.4	-64.1	10	47.51155	80.68365
251.8	-53.6	4	47.50742	80.68415
244.9	-54.6	6.2	47.51227	80.68298
242.4	-61.2	14.5	47.4903	80.67235
249	-69.1	7.2	47.48948	80.67002
246.6	-62.6	10.1	47.4904	80.66848
254.1	-60.9	4.9	47.49067	80.66792
274.2	-79.9	7.8	47.4892	80.66578
267	-54.9	11.1	47.48978	80.66525
245.8	-64.3	6.5	47.49025	80.66365
248.3	-72.5	9	47.49013	80.66135
235.3	-58.4	6.6	47.48955	80.66005
216.5	-62.3	7.7	47.48955	80.66005
222.9	-71	9	47.48835	80.65648

